D01.SI	Dairy Farm Int'l Holdings Ltd
D03.SI	Del Monte Pacific Limited
D05.SI	Dbs Group Holdings Ltd
D07.SI	Spdr Djia Etf Trust
D5IU.SI	Lippo Malls Indo Retail Trust
D8DU.SI	First Ship Lease Trust
DCQW.SI	Hkex 5xshortsg250205
DCRU.SI	Digicore Reit Usd
DCUW.SI	Alibaba 5xlongsg250205
DCVW.SI	Citydev 5xlongsg250226
DCXW.SI	Venture 5xlongsg250226
DDSW.SI	Sats 5xlongsg250515
DEFW.SI	Sats 5xshortsg250515
DELW.SI	Hsbc 5xshortsg250205
DENW.SI	Dbs 5xlongsg250226
DEOW.SI	Dbs 5xshortsg250226
DEPW.SI	Cmob 5xlongsg250327
DEQW.SI	Alibaba 5xlongsg241126
DETW.SI	Baidu 5xlongsg241126
DEVW.SI	Byd 5xlongsg250626
DEWW.SI	Cosco 5xlongsg250626
DFKW.SI	Sembcorp 5xlongsg250515
DFRW.SI	Netease 5xshortsg250205
DFUW.SI	Genting 5xlongsg250226
DFWW.SI	Ocbc 5xshortsg250226
DGJW.SI	Uob 5xshortsg241024
DGMW.SI	Sembcorp 5xshortsg250515
DHHW.SI	Uob 5xlongsg251023
DHLU.SI	Daiwa Hse Log Tr
DHQW.SI	Steng 5xlongsg250515
DHXW.SI	Galaxy 5xshortsg250205
DIFW.SI	Ocbc 5xlongsg251023
DIGW.SI	Steng 5xshortsg250515
DIKW.SI	Petroch 5xlongsg241030
DIMW.SI	Aia 5xshortsg250327
DIOW.SI	Ocbc 5xlongsg250226
DIPW.SI	Pingan 5xlongsg250626
DISW.SI	Alibaba 5xlongsg250904
DJSW.SI	Uob 5xlongsg250226
DJVW.SI	Bilibili 5xlongsg250306
DJYW.SI	Clife 5xlongsg251113
DJZW.SI	Lining 5xlongsg251113
DKOW.SI	Byd 5xlongsg250904
DKPW.SI	Alibaba 5xlongsg251113
DKQW.SI	Pingan 5xshortsg241114
DKRW.SI	Xiaomi 5xlongsg251113
DKVW.SI	Cnooc 5xlongsg251113
DKZW.SI	Kepcorp 5xlongsg250904
DLHW.SI	Cnooc 5xshortsg241030
DLZW.SI	Yzj 5xlongsg241218
DM0.SI	Psc Corporation Ltd
DNWW.SI	Wilmar 5xlongsg241218
